### based on codes available for free here: http://vag-codes.info/files/options/vag-option-codes.xlsx
### VAG option codes		http://vag-codes.info/
### 14288 option codes with description		
### 297 new codes		
### updated 13.01.2018		
### code	group	description
#38	MOT	4-cyl. turbo dies. eng. 1.6 l/92 kW (4V)TDI common rail ABT power enhancement
#7U	STR	Engine start and remote start feature without keyless locking and starting system
#AT	BRS	
#B1	BRS	ESC special vehicle 1
#B2	BRS	ESC special vehicle 2
#B3	BRS	ESC special vehicle 3
#B4	BRS	ESC special vehicle 4
#B5	BRS	ESC special vehicle 5
#B6	BRS	ESC special vehicle 6
#B7	BRS	ESC special vehicle 7
#B8	BRS	ASR application matched to special-purpose vehicle 1
#B9	BRS	ASR application matched to special-purpose vehicle 2
#BA	BRS	ESC special vehicle 8
#BB	BRS	ESC special vehicle 9
#BC	BRS	ESC special vehicle 10
#BD	BRS	ESC special vehicle 11
#BE	BRS	ESC special vehicle 12
#BF	BRS	ESC special vehicle 13
#BG	BRS	ESC special vehicle 14
#BH	BRS	ESC special vehicle 15
#BJ	BRS	ESC special vehicle 16
#BK	BRS	ESC special vehicle 17
#BL	BRS	ESC special vehicle 18
#BM	BRS	ESC special vehicle 19
#BN	BRS	ESC special vehicle 20
#BP	BRS	ESC special vehicle 21
#D0	AHV	Trailer hitch aftermarket equipment, removable and lockable
#D1	AHV	Trailer hitch aftermarket equipment, mechanically swiveling, manual
#D2	AHV	Trailer hitch aftermarket equipment, power-folding
#D3	AHV	Trailer hitch aftermarket equipment, USA
#D4	AHV	Trailer hitch aftermarket equipment, Australia
#D5	AHV	Trailer hitch aftermarket equipment, mechanically swiveling with reduced towing capacity
#D6	AHV	Trailer hitch aftermarket equipment, removable with reduced ventilation capacity
#D7	AHV	Trailer hitch aftermarket equipment, power-swiveling with reduced ventilationcapacity
#D8	AHV	Trailer hitch aftermarket equipment, rigid
#D9	AHV	Trailer hitch aftermarket equipment, power-swiveling with maneuvering system
#E1	AHV	Trailer hitch aftermarket equipment, electr. swiveling w/ reduced ventilationcapacity and maneuvering system
#E2	AHV	Trailer hitch aftermarket equipment, without trailer control module
#E3	AHV	Retrofitting of trailer hitch, with reduced ventilation capacity for Australia/New Zealand
#H1	REI	New coding of instrument cluster due to changed tires, new 245/75 R16
#H2	REI	New coding of instrument cluster due to changed tires, new 215/85 R16
#H3	REI	New coding of instrument cluster due to changed tires, new 285/75 R16
#I2	TKV	Recoding of 4I2 with activated auto-lock feature
#I3	TKV	Recoding of 4k3 with activated auto-lock feature
#J1	HES	Coding for rear spoiler fixed spoiler
#K1	FLS	Recoding 8K1 deactivation separate daytime running lights
#K3	FLS	Recoding 8K3 deactivation separate daytime running lights
#L1	ONL	Online Connectivity Unit deactivation without head unit coding
#L5	ONL	Online Connectivity Unit deactivation with head unit coding
#M9	ZUH	Retrofitting of fuel-fired parking heater with radio remote control
#N3	SWS	Reactivation of the rain sensor
#SK	SBR	LED tail lamp assembly as aftermarket equipment
#U2	STR	Aftermarket equipment remote start feature recoding of 7U2
#W3	CPD	Recoding of IW3
#X5	ESZ	Recoding GX5, decoding of the warning signal
#XI	ASE	Ext. mirror, auto-dimming, el. folding/ adjust., separately heated, w/ front pass. exterior mirror lowering function
#ZP	BAV	Disk brakes in front 15-inch " PC57-25/14 Jurid 200-FF
0PQ	SZU	Limited Edition
0PR	SZU	Nameplate set "Magotan Alltrack"
0PS	SZU	Nameplate set "R36"
0PT	SZU	Nameplate set "Magotan"
0PU	SZU	Nameplate set "TDI" (red, unit-injector system)
0PV	SZU	Nameplate set "V6 4MOTION"
0PW	SZU	Nameplate set "CC"
0PX	SZU	Nameplate set "VR6"
0PY	SZU	Nameplate set "Hybrid"
0PZ	SZU	Nameplate set "R"
0Q0	ABV	Without label for brake-proportioning values
0Q1	ABV	Label for brake-proportioning values
0QA	SZU	Without nameplate set (without model designation), but with emblem
0QB	SZU	Nameplate set "BlueMotion"
0QC	SZU	Nameplate set "TDI 4MOTION", "I" with special color trim
0QD	SZU	Without engine designation or nameplate set, but with emblem
0QE	SZU	Nameplate set "1.6"
0QF	SZU	Nameplate set "BlueMotion"
0QG	SZU	Nameplate set "20V"
0QH	SZU	Nameplate set GTS
0QJ	SZU	Nameplate set "1.8 T" (T in red)
0QK	SZU	Nameplate set "1.4"
0QL	SZU	Nameplate set "S"
0QM	SZU	Nameplate set "SE"
0QN	SZU	Nameplate set "20V T"
0QP	SZU	Nameplate set "SEL"
0QQ	SZU	Nameplate set "FSI" (green "I")
0QR	SZU	Nameplate set 718
0QS	SZU	Nameplate set "GTI" in front and "GTI 16V" in rear
0QT	SZU	Nameplate set "GTE"
0QU	SZU	Nameplate set "CT"
0QV	SZU	Nameplate set "V5 4MOTION"
0QW	SZU	Nameplate set in base trim with black guide rail (without model designation)
0QX	SZU	Name plate set in base trim with black guide rail
0QY	SZU	Nameplate "ECOFUEL"
0QZ	SZU	Special edition nameplate set
0R0	NAT	Without transmission power take-off
0R1	NAT	Transmission power take-off
0R2	NAT	Preparation for transmission power take-off
0R3	NAT	Transmission power take-off
0R4	NAT	Transmission power take-off
0R6	NAT	Transmission power take-off with lock countershaft without flange
0R7	NAT	Transmission power take-off with lock countershaft with flange
0RA	ZSS	Without ignition/starter switch locking system
0RB	ZSS	Ignition/starter switch locking system
0RC	ZSS	Starter switch locking system
0RD	ZSS	Starter switch locking system, theft protecting
0RE	ZSS	Without electronic steering column lock
0RF	ZSS	With electronic steering column lock
0RZ	ZSS	Without ignition/starter switch locking system, without steering lock
0S0	UFS	Without underbody cladding
0S1	UFS	Rear underbody cladding
0S2	UFS	Rear bumper (with integrated step)
0S3	UFS	Rear and side underbody cladding
0S4	UFS	Side underbody cladding
0S5	UFS	Rear bumper (with integrated step)
0S6	UFS	Rear bumper (with integrated step)
0S7	UFS	Rear bumper (with integrated step)
0SA	SAU	Without special labels/plates
0SB	SAU	Labels/plates in German
0SC	SAU	Labels/plates in English
0SD	SAU	Labels/plates in Swedish
0SE	SAU	Labels/plates in Dutch
0SF	SAU	Labels/plates in Danish
0SG	SAU	Labels/plates in French
0SH	SAU	Labels/plates in Portuguese
0SJ	SAU	Labels/plates in Spanish
0SK	SAU	Labels/plates in Italian
0SL	SAU	Labels/plates in Japanese
0SM	SAU	Labels/plates in Chinese
0SN	SAU	Labels/plates in Russian
0SP	SAU	Labels/plates in Finnish
0SQ	SAU	Labels/plates in Norwegian
0SR	SAU	Labels/plates in Hebrew
0SS	SAU	Labels/plates in English and French
0ST	SAU	Labels/plates in German and French
0SU	SAU	Labels/plates in Spanish and Italian
0SV	SAU	Labels/plates in Greek
0SW	SAU	Labels/plates in Arabic
0SX	SAU	Labels/plates in Chinese and English
0SY	SAU	Labels/plates in Japanese and English
0SZ	SAU	Labels/plates in Dutch and French
0T0	AGW	Without balance shaft
0T1	AGW	With balance shaft
0TA	ZFM	Without floor mats
0TB	ZFM	Floor mats in front, with leatherette welt
0TC	ZFM	Floor mats in front
0TD	ZFM	Floor mats in front and rear
0TE	ZFM	Floor mats in front and rear
0TF	ZFM	With floor mats
0TG	ZFM	Rubber floor mats in front and rear
0TH	ZFM	Floor mats in front and rear
0TJ	ZFM	Rubber floor mats in front
0TK	ZFM	Rubber floor mats in front, left
0TL	ZFM	Floor mats in front and rear (leatherette welt)
0TM	ZFM	Floor mats in rear
0TN	ZFM	Floor mats in front, with welt in seat covering color
0TP	ZFM	Floor mats in front and rear
0TQ	ZFM	Floor mats in front and rear (polypropylene)
0TR	ZFM	Floor mats in front and rear, wedge-shaped in rear
0TS	ZFM	Floor mats in front
0TT	ZFM	Floor mats in front and center (leatherette welt)
0TX	ZFM	With floor mats
0TZ	ZFM	Without floor mats in rear, with wedge
0U0	KRQ	Fuel quality 98 RON
0U1	KRQ	Fuel quality 95-91 RON
0U2	KRQ	Fuel quality < 50 ppm
0U3	KRQ	Fuel quality 50 4 000 ppm
0U4	KRQ	Fuel quality > 4 000 ppm
0U6	KRQ	Fuel quality E22
0U7	KRQ	Fuel quality E85
0U8	KRQ	Fuel quality without specifications
0UA	BFA	Without special color trim
0UB	BFA	Special color trim
0UC	BFA	Combined color trim
0UD	BFA	Color according to customer
0UE	BFA	Color acc. to customer material
0UF	BFA	Special color trim
0UG	BFA	Special color trim
0UH	BFA	Special color trim
0UI	BFA	Special color trim
0UJ	BFA	Special color trim
0UK	BFA	Special color trim
0UL	BFA	Special color trim
0UM	BFA	Special color trim
0UN	BFA	Special color trim
0UP	BFA	Special color trim
0UQ	BFA	Special color trim
0UR	BFA	Special color trim
0US	BFA	Special color trim
0V0	FAD	Manufacturing sequence Aurangabad
0V1	FAD	Manufacturing sequence Solomonov
0V2	FAD	Manufacturing sequence Ustkamenogorsk
0V3	FAD	Manufacturing sequence Sarajefo
0V4	FAD	Manufacturing sequence Kaluga
0V5	FAD	Pune manufacturing sequence
0V6	FAD	South Africa manufacturing sequence
0V7	FAD	Pune manufacturing sequence (Export)
0V8	FAD	Nishnij Nowgorod manufacturing sequence
0V9	FAD	Pekan (Malaysia) manufacturing sequence
0VA	BTA	Without information kit
0VB	BTA	Information kit in French
0VC	BTA	Information kit in German
0VD	BTA	Information kit in Spanish
0VE	BTA	Information kit in Flemish/French
0VF	BTA	Information kit in English
0VG	BTA	Information kit in Italian
0VH	BTA	Information kit in Dutch
0VJ	BTA	Information kit in Portuguese
0VK	BTA	Information kit in Arabic
0VL	BTA	Information kit in Danish
0VM	BTA	Information kit in American English
0VN	BTA	Information kit in Finnish
0VP	BTA	Information kit in Canadian French
0VQ	BTA	Information kit in Greek
0VR	BTA	Information kit in Japanese
0VS	BTA	Information kit in Norwegian
0VT	BTA	Information kit in Polish
0VU	BTA	Information kit in Russian
0VV	BTA	Information kit in Swedish
0VW	BTA	Information kit in Czech
0VX	BTA	Information kit in Taiwanese
0VY	BTA	Information kit in Serbo-Croat
0VZ	BTA	Information kit in Hungarian
0W0	AKZ	Label for central electric system
0W1	AKZ	Label for central electric German-speaking countries
0W2	AKZ	Label for central electric English-speaking countries
0W3	AKZ	Label for central electrics French-speaking countries
0W5	AKZ	Label for central electric Portuguese a. Spanish-speaking countries
0WA	ZUG	Gross vehicle weight rating
0WB	ZUG	Gross vehicle weight rating 3.2 t
0WC	ZUG	Gross vehicle weight rating 3.5 t single tires
0WD	ZUG	Gross vehicle weight rating 4.0 t
0WE	ZUG	Gross vehicle weight rating 4.6 t
0WF	ZUG	Gross vehicle weight rating 5.0 t
0WG	ZUG	Gross vehicle weight rating 5.6 t
0WH	ZUG	Gross vehicle weight rating decreased from 4.0 t to 3.5 t
0WI	ZUG	Gross vehicle weight rating
0WJ	ZUG	Gross vehicle weight rating 3.5 t dual tires
0WK	ZUG	Gross vehicle weight rating
0WL	ZUG	Gross vehicle weight rating
0WM	ZUG	Gross vehicle weight rating
0WN	ZUG	Gross vehicle weight rating
0WP	ZUG	Gross vehicle weight rating
0WQ	ZUG	Gross vehicle weight rating
0WR	ZUG	Gross vehicle weight rating
0WS	ZUG	Gross vehicle weight rating
0WT	ZUG	Gross vehicle weight rating
0WU	ZUG	Gross vehicle weight rating
0WV	ZUG	Gross vehicle weight rating
0WW	ZUG	Gross vehicle weight rating
0WX	ZUG	Gross vehicle weight rating
0WY	ZUG	Gross vehicle weight rating
0WZ	ZUG	Gross vehicle weight rating
0X0	WWZ	Without washer fluid additive
0X1	WWZ	Washer fluid additive
0X9	ATA	Preparation for four-wheel drive
0XA	BTA	Information kit in Turkish
0XB	BTA	Information kit in Croatian
0XC	BTA	Information kit in Slovenian
0XD	BTA	Information kit Hebrew
0XE	BTA	Information kit Macedonian
0XF	BTA	Information kit in Chinese
0XG	BTA	Information kit in Bulgarian
0XH	BTA	Information kit in Romanian
0XJ	BTA	Information kit in Portuguese
0XK	BTA	Information kit in Estonian
0XL	BTA	Information kit in Serbian
0XM	BTA	Information kit in Slovakian
0XN	BTA	Information kit in French and Dutch
0XP	BTA	Information kit in Mexican Spanish
0XQ	BTA	Information kit in Arabic and English
0XR	BTA	Information kit in Lithuanian
0XS	BTA	Information kit in Latvian
0XT	BTA	Information kit in English (for Canada)
0XU	BTA	Information kit in Flemish
0XV	BTA	Information kit in English (for LHD)
0XW	BTA	Information kit in English (for RHD)
0XX	BTA	Information kit in German (for export)
0XY	BTA	Information kit in German (for Austria)
0XZ	BTA	Information kit in English/French Canadian
0Y0	KLZ	Tropical zones (moderate cold-start country)
0Y1	KLZ	Standard climatic zones
0Y2	KLZ	Tropical zones
0Y3	KLZ	Cold zones
0Y4	KLZ	Cold and tropical climatic zones (US)
0Y5	KLZ	Cold and tropical climatic zones (China)
0Y6	KLZ	Tropical climatic zones/dusty regions
0Y7	KLZ	Tropical zones and high-water country
0Y8	KLZ	Extremely cold zone
0Y9	KLZ	Tropical zones and high-water country (moderate cold start country)
0YA	GKH	Weight range 1 installation control only, no requirement forecast
0YB	GKH	Weight range 2 installation control only, no requirement forecast
0YC	GKH	Weight range 3 installation control only, no requirement forecast
0YD	GKH	Weight range 4 installation control only, no requirement forecast
0YE	GKH	Weight range 5 installation control only, no requirement forecast
0YF	GKH	Weight range 6 installation control only, no requirement forecast
0YG	GKH	Weight range 7 installation control only, no requirement forecast
0YH	GKH	Weight range 8 installation control only, no requirement forecast
0YJ	GKH	Weight range 9 installation control only, no requirement forecast
0YK	GKH	Weight range 10 installation control only, no requirement forecast
0YL	GKH	Weight range 11 installation control only, no requirement forecast
0YM	GKH	Weight range 12 installation control only, no requirement forecast
0YN	GKH	Weight range 13 installation control only, no requirement forecast
0YP	GKH	Weight range 14 installation control only, no requirement forecast
0YQ	GKH	Weight range 15 installation control only, no requirement forecast
0YR	GKH	Weight range 16 installation control only, no requirement forecast
0YS	GKH	Weight range 17 installation control only, no requirement forecast
0YT	GKH	Weight range 18 installation control only, no requirement forecast
0YU	GKH	Weight range 19 installation control only, no requirement forecast
0YV	GKH	Weight range 20 installation control only, no requirement forecast
0YW	GKH	Weight range 21 installation control only, no requirement forecast
0YX	GKH	Weight range 22 installation control only, no requirement forecast
0YY	GKH	Weight range 23 installation control only, no requirement forecast
0YZ	GKH	Without determination of weight categoryfor rear axle
0Z0	FIB	VW marque-specific/class-specific features
0Z1	FIB	-Porsche Boxster-
0Z2	FIB	-Porsche-Carrera-
0Z3	FIB	FORD marque-specific/class-specific features
0Z4	FIB	SEAT marque-specific/class-specific features
0Z5	FIB	- Porsche Panamera -
0Z6	FIB	SKODA marque-specific/class-specific features
0Z7	FIB	-Porsche-Cayenne-
0Z8	FIB	MAN brand-specific/class-specific features
0ZA	AUE	Axle ratio 45:7
0ZB	AUE	Axle ratio 41:7
0ZC	AUE	Axle ratio 43:8
0ZD	AUE	Axle ratio 39:8
0ZE	AUE	Axle ratio 40:9
0ZF	AUE	Axle ratio 41:10
0ZG	AUE	Axle ratio 53:13
0ZH	AUE	Axle ratio 53:14
0ZI	AUE	Axle ratio 3.21:1
0ZJ	AUE	Final drive ratio
0ZK	AUE	Final drive ratio
0ZL	AUE	Axle ratio 3.727:1
0ZM	AUE	Transmission ratio, low geared
0ZN	AUE	Transmission ratio, high geared
0ZP	AUE	Transmission ratio, low geared
0ZQ	AUE	Axle ratio 4.11:1
0ZR	AUE	Axle ratio 4.375:1
0ZS	AUE	Axle ratio 4.857:1
0ZT	AUE	Axle ratio 5.286:1
0ZU	AUE	Transmission ratio for bodywork manufacturer WINNEBAGO
0ZV	AUE	Transmission ratio (USA)
0ZW	AUE	Axle ratio 5.38:1
0ZX	AUE	Axle ratio 6.167:1
0ZZ	AUE	Axle ratio for special transmissions
10A	FFV	Suspension system in front, parabolic
10B	FFV	Suspension system in front, trapezoidal
10C	FFV	Suspension system in front, bolted
11A	FFX	Suspension system in rear, parabolic
11B	FFX	Suspension system in rear, trapezoidal
11C	FFX	Air suspension in rear
1A0	KRS	Fuel system (conversion to gas possible)
1A1	KRS	Fuel system for SI engine with injector system without fuel return
1A2	KRS	Fuel system for SI engine with direct injection (FSI)
1A3	KRS	Fuel system for carburetor gasoline eng.with injector system without fuel returnand modified injection pressure
1A4	KRS	Fuel system Multi Fuel
1A5	KRS	Fuel system for SI engine
1A6	KRS	Fuel "system flex" fuel?--Total Flex
1A7	KRS	Fuel system for fuel-injected engine (tropicalized)
1A8	KRS	Diesel and fuel system water trap
1A9	KRS	Diesel plus fuel system water trap with sensor
1AA	BRS	Air brake without anti-lock brake system
1AB	BRS	Power brake
1AC	BRS	Anti-lock brake system (ABS)
1AD	BRS	Anti-lock brake system (ABS) with electronic differential lock (EDL)
1AE	BRS	BRS for vehicles with electric drive (ESC and electric brake booster)
1AF	BRS	Power brake
1AG	BRS	9-inch power brake
1AH	BRS	Electronic differential lock (EDL)
1AI	BRS	Anti-lock brake system (ABS)
1AJ	BRS	Anti-slip regulation (ABS/ASR/EDL) with electronic differential lock (EDL)
1AK	BRS	Electronic stability control (ESC) with brake assist system
1AL	BRS	Power brake
1AM	BRS	Ten-inch power brake
1AN	BRS	Anti-lock brake system (ABS)
1AP	BRS	Electronic stability control (ESC) with electromechanical brake booster
1AQ	BRS	BRS for vehicles without electric drive (ESC and electric brake booster)
1AR	BRS	Anti-slip regulation (ABS/ASR)
1AS	BRS	Electronic stability control (ESC)
1AT	BRS	Electronic stability control (ESC)
1AU	BRS	Power brake with hydraulic test points
1AV	BRS	Anti-lock brake system (ABS) with electronic differential lock (EDL) and hydraulic test points
1AW	BRS	Anti-lock brake system (ABS)
1AZ	BRS	Electronic stability control (ESC)
1B0	REH	Without spare wheel bracket
1B1	REH	Standard spare wheel bracket
1B2	REH	Spare wheel bracket for double cab and pickup
1B3	REH	Spare wheel bracket for low-loader with double cab
1B4	REH	Spare wheel bracket under luggage compartment cargo panel
1B5	REH	Spare wheel bracket in passenger compartment in an upright position
1B6	REH	Swiveling spare wheel bracket at rear
1B7	REH	Spare wheel bracket, rear left, stored flat in passenger/load compartment
1B8	REH	Spare wheel bracket, rear center, storedflat in passenger/load compartment
1B9	REH	Spare wheel bracket on side member
1BA	DAE	Standard suspension/shock absorption
1BB	DAE	Suspension/shock absorption for rough road design
1BC	DAE	Suspension/shock absorption, lowered
1BD	DAE	Suspension/shock absorption for special sports design
1BE	DAE	Sports suspension/shock absorption
1BF	DAE	Uprated suspension/shock absorption in rear
1BG	DAE	Suspension/shock absorption, automatic level control system, air suspension at rear axle
1BH	DAE	Suspension/shock absorption, standard 2
1BJ	DAE	Uprated suspension/shock absorption in front and rear
1BK	DAE	4-corner air suspension with electronic shock absorption control
1BL	DAE	Suspension/shock absorp. (closed-loop)
1BM	DAE	Standard suspension/shock absorption
1BN	DAE	Suspension/shock absorption, automatic level control system
1BP	DAE	Suspension/shock absorption for special rough-road version
1BQ	DAE	Suspension/shock absorp. (closed-loop)
1BR	DAE	Comfort heavy-duty suspension
1BS	DAE	4-corner air suspension
1BT	DAE	Suspension/shock absorption for special rough-road version(different springs)
1BU	DAE	Shock absorption for sports version
1BV	DAE	Sports suspension/shock absorption
1BW	DAE	Comfort suspension 2
1BX	DAE	Slave suspension/shock absorption
1BY	DAE	4-corner air suspension for rough-road version
1BZ	DAE	Comfort shock absorption
1C0	FRO	Without antifreeze
1C1	FRO	Antifreeze up to -25 degree Celsius tolerance up to -30 degree C
1C2	FRO	Antifreeze up to -35 degree Celsius tolerance up to -40 degree C
1C4	FRO	Antifreeze up to -40 degree Celsius
1C5	FRO	Antifreeze up to -40 degree Celsius
1CA	AED	Vehicle class differentiation 6E0
1CB	AED	Vehicle class differentiation 8Z0
1CC	AED	Vehicle class differentiation 6Y0
1CD	AED	Vehicle class differentiation 2H0
1CE	AED	Vehicle class differentiation 2X0 industrial engines
1CF	AED	Vehicle class differentiation 6KS
1CG	AED	Vehicle class differentiation 17S
1CH	AED	Vehicle class differentiation 8H0
1CI	AED	Vehicle class differentiation -120-
1CJ	AED	Vehicle class differentiation 8M0
1CK	AED	Vehicle class differentiation 6QE build status for Europe (South America production)
1CL	AED	Vehicle class differentiation 7F0
1CM	AED	Vehicle class differentiation 3T0
1CN	AED	Vehicle class differentiation 4L0
1CP	AED	Vehicle class differentiation 7E0
1CQ	AED	Vehicle class differentiation 7K0
1CR	AED	Vehicle class differentiation 7L0
1CS	AED	Vehicle class differentiation 1D0
1CT	AED	Vehicle class differentiation 1Q0
1CU	AED	Vehicle class differentiation 3BD
1CV	AED	Vehicle class differentiation
1CW	AED	Vehicle class differentiation 3D0
1CX	AED	Vehicle class differentiation 4E0
1CY	AED	Vehicle class differentiation 9P0
1CZ	AED	Vehicle class differentiation 1T0
1D0	AHV	Without trailer hitch
1D1	AHV	Trailer hitch
1D2	AHV	Trailer hitch, removable and lockable
1D3	AHV	Trailer hitch
1D4	AHV	Trailer hitch, manually swiveling
1D5	AHV	Trailer hitch (pintle hitch)
1D6	AHV	Trailer hitch
1D7	AHV	Trailer hitch preparation
1D8	AHV	Trailer hitch preparation
1D9	AHV	Trailer hitch, power-folding
1DA	SZU	Nameplate set "Soccer"
1DB	SZU	Nameplate set "2.0"
1DC	SZU	Nameplate set "V5"
1DD	SZU	Nameplate set "V6 TDI"
1DE	SZU	Nameplate set "Derby"
1DF	SZU	Nameplate set "V6 TDI 4MOTION"
1DG	SZU	Nameplate set "TDI"
1DH	SZU	Nameplate set "TDI 4MOTION" (unit-injector system)
1DJ	SZU	Nameplate set "GTI"
1DK	SZU	Nameplate set "SX 20V T"
1DL	SZU	Nameplate set "20V T" "T"
1DM	SZU	Nameplate set "2.0 4MOTION"
1DN	SZU	Nameplate set "TDI 4MOTION", "I" with special color trim
1DP	SZU	Nameplate set "GLI VR6" (without model designation)
1DQ	SZU	Nameplate set "V6 TDI"
1DR	SZU	Nameplate set "V6 TDI 4MOTION"
1DT	SZU	Nameplate set "SI"
1DU	SZU	Nameplate set "2.0"
1DX	SZU	Nameplate set "GTX"
1E0	AKB	Without activated carbon canister
1E1	AKB	Activated carbon canister
1E2	AKB	Gasoline particulate filter (GPF)
1E3	AKB	Activated carbon canister
1E4	AKB	Activated carbon canister acc. to ORVR and siphoning device for fueling
1E5	AKB	Activated carbon canister for intensified evaporation system with on-board diagnostic system 2
1E6	AKB	Activated carbon canister with modified shape
1E7	AKB	Activated carbon canister ORVR, for intensified evaporation system, siphoning device for fueling
1E8	AKB	Activated carbon canister
1E9	AKB	Without activated carbon canister with SCR
1EA	TYP	Special identification plate
1EB	TYP	Without identification plate
1EC	TYP	Special identification plate
1ED	TYP	Special identification plate
1EE	TYP	Special identification plate
1EF	TYP	Special identification plate (Greece)
1EG	TYP	Special identification plate (Italy)
1EH	TYP	Special identification plate (France)
1EJ	TYP	Special identification plate
1EK	TYP	Identification plate with weight data and vehicle identification number (without line 2)
1EL	TYP	Special identification plate (Spain, fully built up)
1EM	TYP	Identification plate for Sweden and additional plate with Swedish type approval number
1EN	TYP	Special identification plate (Russia)
1EP	TYP	Special identification plate (USA)
1EQ	TYP	Special identification plate (Japan)
1ER	TYP	Special identification plate (China)
1ES	TYP	Special identification plate (special cases)
1ET	TYP	Special identification plate (AGCC countries)
1EU	TYP	Special identification plate
1EV	TYP	Special identification plate EC for commercial vehicles
1EW	TYP	Special identification plate (Czech Republic)
1EX	TYP	Special identification plate for EC for M1 passenger vehicle
1EY	TYP	Special identification plate with weight data, but without general operating permit (ROW)
1EZ	TYP	Identification plate without performancedata
1F0	ASO	Without towing eyes in front and rear
1F1	ASO	One towing eye in front, one towing eye in rear
1F2	ASO	Two front towing eyes and one rear towing eye
1F3	ASO	One towing eye in front
1F4	ASO	One towing eye each side, front and rear(removable rear towing eye)
1F5	ASO	One towing eye in rear
1F6	ASO	Without shackle
1F7	ASO	With 2 shackles
1FA	TYP	Special identification plate (Slovak Republic)
1FB	TYP	Special identification plate (China BEV)
1FD	TYP	Special identification plate (Iraq)
1FF	TYP	Special identification plate (Poland)
1FG	TYP	Special identification plate
1FH	TYP	Identification plate for countries with national type approval, but with EC approved weight data
1FJ	TYP	Special identification plate for FORD
1FK	TYP	Special identification plate (Poland)
1FL	TYP	Special identification plate (Australia)
1FM	TYP	Special identification plate (China Hybrid)
1FP	TYP	Special identification plate (China PHEV)
1G0	RER	Without spare wheel
1G1	RER	Space-saving spare wheel
1G2	RER	Steel spare wheel with original equipment tire
1G3	RER	Alloy spare wheel with original equipment tires
1G4	RER	Space-saving spare wheel
1G5	RER	Space-saving spare wheel, same size (same rolling circumference) as originalequipment tires
1G6	RER	Space-saving spare wheel
1G7	RER	Space-saving spare wheel (radial tire)
1G8	RER	Breakdown kit
1G9	RER	Space-saving spare wheel for temporary use, radial tire (5-hole)
1GA	DFV	Front shock absorption, basic version 1
1GB	DFV	Front shock absorption for rough-road version
1GC	DFV	Front shock absorption, basic version 3
1GD	DFV	Front sports shock absorption
1GE	DFV	Front shock absorption, basic version 4
1GF	DFV	Front shock absorption, basic version 3 (AUDI)
1GG	DFV	Front shock absorption, basic version 2
1GH	DFV	Front shock absorption, basic version 1 (SKODA)
1GJ	DFV	Front shock absorption, basic version 2 (AUDI)
1GK	DFV	Front shock absorption, sports version 1
1GL	DFV	Front shock absorption, sports version 2
1GM	DFV	Front shock absorption (AUDI TT)
1GN	DFV	Front shock absorption for rough-road version (AUDI)
1GP	DFV	Front shock absorption (AUDI TTS)
1GQ	DFV	Front shock absorption for S3
1GR	DFV	Front shock absorption (roadster TT)
1GS	DFV	Front shock absorption (AUDI TT)
1GT	DFV	Front shock absorption for high-powered engine
1GU	DFV	Front shock absorption, 1:1 fastening, basic version
1GV	DFV	Front shock absorption, 1:1 fastening, sports version
1GW	DFV	Front shock absorption, 1:1 fastening, rough-road version
1GX	DFV	Front shock absorption, sports version 3(AUDI)
1H0	BRM	Without proportioning valve
1H1	BRM	Load-sensitive proportioning valve
1H2	BRM	Vacuum-sensitive proportioning valve
1H3	BRM	Hydraulics-sensitive proportioning valve(for Nivomat)
1H4	BRM	Load-sensitive brake pressure regulator and retarder preparation
1H5	BRM	Retarder preparation
1HA	HWS	Labels for country group 1
1HB	HWS	Labels for country group 2
1HC	HWS	Labels for country group 3
1HD	HWS	Labels for country group 4/A
1HE	HWS	Labels for country group 5
1HF	HWS	Labels for country group 6
1HG	HWS	Labels for country group 4/B
1HH	HWS	Labels for country group 8
1HI	HWS	Labels for country group 24
1HJ	HWS	Labels for country group 9
1HK	HWS	Labels for country group 10
1HL	HWS	Labels for country group 11
1HM	HWS	Labels for country group 12
1HN	HWS	Labels for country group 13
1HP	HWS	Labels for country group 14
1HQ	HWS	Labels for country group 15
1HR	HWS	Labels for country group 16
1HS	HWS	Labels for country group 17
1HT	HWS	Labels for country group 18
1HU	HWS	Labels for country group 19
1HV	HWS	Labels for country group 20
1HW	HWS	Labels for country group 21
1HX	HWS	Labels for country group 22
1HY	HWS	Labels for country group 23
1HZ	HWS	Labels without country group
1J0	LSD	Without additional sound absorbing measures
1J1	LSD	Sound deadening package
1J2	LSD	Sound deadening package and additional enclosures for some units
1JA	DFH	Rear shock absorption, basic version 1
1JB	DFH	Rear shock absorption for rough-road version
1JC	DFH	Rear shock absorption for sports version
1JD	DFH	Rear shock absorption, basic version 2
